Position,MeanYear,Longitude,Latitude
Midfielder,1898,-1.995,52.5189
Goalkeeper,1898,-1.8386,53.7264
Defender,1898,-1.9683,52.4928
Defender,1898,-0.1167,51.5
Midfielder,1898,,
Forward,1898,,
Forward,1898,-4.5739,55.9619
,1898,-3.9833,55.8667
Forward,1898,-2.5858,56.5614
Forward,1898,-4.5333,55.9667
Forward,1898,-4.2589,55.8581
Forward,1898.5,-3.8853,55.9097
Goalkeeper,1898.5,-4.7842,56.0219
Midfielder,1898.5,-3.9675,56.1839
Defender,1899,-2.7181,52.3681
Goalkeeper,1899,-4.15,50.545
Defender,1899,-1.1531,53.5156
Goalkeeper,1899,-1.4667,52.9167
Forward,1899,-1.385,52.86
Midfielder,1899.5,-1.4669,53.3836
Forward,1900,-2.43,53.5786
Forward,1900,-2.0931,53.2981
Forward,1900,-1.0564,54.535
Forward,1900,-0.7733,53.4017
Midfielder,1900,-2.3867,53.7553
,1900,-3.9719,55.7369
Forward,1900,-4.2589,55.8581
Forward,1900.5,-0.9053,51.3042
Midfielder,1900.5,-2.2186,53.4692
Midfielder,1900.5,-1.385,52.86
Defender,1901,-0.11,51.3728
Forward,1901,-1.5106,52.4081
Midfielder,1901,-0.1314,50.8431
Forward,1901,-1.2831,53.4992
Forward,1901,,
Forward,1901,-3.2703,54.2097
Forward,1901,-2.0861,52.46
Defender,1901,-4.4958,55.6111
Forward,1901,-3.1889,55.9531
Defender,1901.5,-2.2481,53.7889
Forward,1901.5,-2.2158,53.0294
Midfielder,1901.5,-1.4697,53.4428
Forward,1902,-1.8936,52.4831
Forward,1902,-1.1667,54.5833
Midfielder,1902,-2.8917,53.1903
Forward,1902,-1.3811,54.9061
Goalkeeper,1902,,
Midfielder,1902,-2.9833,53.4
,1902,19.0514,47.4925
Goalkeeper,1902,21.205,48.1622
Defender,1902,,
Forward,1902,-2.5858,56.5614
Midfielder,1902,-4.2161,55.8608
Forward,1902,-4.5,55.5
Midfielder,1902,-2.5858,56.5614
Defender,1902.5,-2.9833,53.4
Defender,1902.5,-4.5667,55.95
Forward,1903,-1.6381,52.7994
Forward,1903,-0.9667,51.75
Forward,1903,0.1189,52.205
Forward,1903,-2.3047,53.0961
Midfielder,1903,-3.2261,54.1108
Midfielder,1903,-2.1728,53.0247
Midfielder,1903,-1.4,53.5161
Defender,1903,-4.1667,55.8167
Defender,1903,-3.8039,55.8225
Goalkeeper,1903.5,-2.1878,53.0425
Defender,1903.5,-3.7064,55.9908
,1904,-58.3833,-34.6
Defender,1904,16.3667,48.2
Goalkeeper,1904,4.35,50.85
Defender,1904,-1.4333,53.45
Midfielder,1904,-2.7583,50.7336
Forward,1904,-0.6964,52.2939
Midfielder,1904,-2.4769,53.745
Forward,1904,-1.3833,53.1
Forward,1904,-2.7161,52.0564
Forward,1904,-4.6319,55.7533
Midfielder,1904,-2.8033,55.6194
Defender,1904,-4.2253,57.4717
Goalkeeper,1904,-4.7642,55.9494
Defender,1904.5,-2.37,53.5633
Midfielder,1904.5,-1.4833,53.5
Defender,1904.5,-1.4833,51.7833
Defender,1905,-2.9833,53.4
Forward,1905,-2.0819,53.4475
Goalkeeper,1905,-1.385,52.86
Defender,1905,-2.1667,53.4667
Forward,1905,-0.7733,53.4017
Forward,1905,-1.3811,54.9061
Forward,1905,-2.6422,51.4856
,1905,4.6333,52.3833
,1905,4.2667,51.8667
Forward,1905,-3.315,57.65
,1905.5,,
Midfielder,1906,4.35,50.85
Forward,1906,-1.8333,54.85
Forward,1906,0.9031,51.8917
Defender,1906,-1.6261,55.0611
Goalkeeper,1906,-2.9833,53.4
Forward,1906,-0.0611,51.4578
Midfielder,1906,-1.4747,54.9997
Forward,1906,2.35,48.85
Forward,1906,-0.9836,47.5117
,1906,99.8,2.97
,1906,106.8833,-6.2333
Forward,1906,-3.8333,55.9378
Defender,1906,-4.4519,55.5983
Defender,1906,-3.9853,55.7839
Defender,1906,-4.6289,55.4581
Forward,1906.5,-2.1833,53.5
,1906.5,3.8833,51.5
,1906.5,5.9667,52.2167
,1906.5,4.6333,52.3833
Defender,1906.5,-4.0267,55.8625
Forward,1906.5,-3.9189,55.7739
Defender,1906.5,-3.2319,56.6231
Goalkeeper,1906.5,-4.6289,55.4581
Forward,1906.5,-4.3797,55.6003
Forward,1906.5,-3.1889,55.9531
Defender,1907,-58.3833,-34.6
Forward,1907,-0.7231,52.3931
Forward,1907,-2.055,52.9708
Forward,1907,-2.1478,52.4575
Forward,1907,-0.1197,51.4814
,1907,106.8,-6.6
,1907,4.7833,51.5833
Forward,1907,-4.5667,55.95
Midfielder,1907,-4.5667,55.95
Forward,1907,-4.0767,55.8525
Defender,1907.5,-58.4167,-35.0167
,1907.5,-1.575,54.9881
Forward,1907.5,-2.7669,53.9031
Defender,1907.5,-4.4958,55.6111
Midfielder,1907.5,-3.8039,55.8225
Forward,1907.5,-3.9833,55.8667
Forward,1907.5,-4.5183,55.4433
Goalkeeper,1908,-1.4664,53.3025
Goalkeeper,1908,-1.4667,52.9167
Defender,1908,-2.4769,53.745
Midfielder,1908,-0.3278,51.885
Defender,1908,-1.4669,53.3836
Forward,1908,-0.0169,51.5247
Defender,1908,13.3833,52.5167
Defender,1908,13.3833,52.5167
Forward,1908,13.7333,51.0333
,1908,5.9167,51.9833
Defender,1908,-2.97,56.4639
Forward,1908,-4.2589,55.8581
Midfielder,1908,-4.2253,57.4717
Midfielder,1908,-4.1681,55.7483
Forward,1908.5,-58.3833,-34.6
Forward,1908.5,-58.3833,-34.6
Defender,1908.5,-0.6167,51.1833
Defender,1908.5,-1.5789,52.7819
Forward,1908.5,-1.8936,52.4831
Defender,1908.5,12.3833,51.3333
Midfielder,1908.5,8.7167,48.9019
,1908.5,-4.2589,55.8581
Defender,1909,-2.6036,51.4397
Midfielder,1909,-1.3378,52.8444
Forward,1909,-2.1333,52.5833
Goalkeeper,1909,,
Forward,1909,-0.0025,51.5422
Forward,1909,-1.6,54.95
