PlayerName,Country,Age,Height,Position,YearsPlayed,MeanYear,Appearances,Goals,BirthPlace,Longitude,Latitude
Alberto Terry,Peru,,,Midfielder,1953-1959,1956,25,11,Lima,-77.0283,-12.0433
Erick Torres,Peru,39,1.76,Midfielder,1997-2006,2001.5,11,0,Puerto Maldonado,-69.1833,-12.6
Juan Manuel Vargas,Peru,30,1.85,Midfielder,2004-,2009,42,4,Magdalena del Mar,-77.0833,-12.1
&#xC9;dson Uribe,Peru,32,1.71,Midfielder,2001,2001,2,0,Lima,-77.0283,-12.0433
Juan Alfonso Valle,Peru,,,Midfielder,,,,,Peru,-77.0167,-12.0333
Juan Valdivieso,Peru,,,Forward,1930-1938,1934,10,0,Lima,-77.0283,-12.0433
Johnny Vegas Fern&#xE1;ndez,Peru,38,1.77,Goalkeeper,1999-2000,1999.5,3,0,Huancayo,-75.2167,-12.0667
Johan V&#xE1;squez,Peru,29,1.79,Midfielder,2008-,2011,1,0,Lima,-77.0283,-12.0433
Gustavo Vassallo,Peru,36,1.88,Forward,2005-2006,2005.5,5,3,Lambayeque Peru,-79.9,-6.7
Marcio Valverde,Peru,26,1.74,Defender,2009-,2011.5,2,0,Lima,-77.0283,-12.0433
Julio C&#xE9;sar Uribe,Peru,56,,Forward,1979-1989,1984,39,9,Lima,-77.0283,-12.0433
Mario Alfonso Velarde Pinto,Peru,24,,Midfielder,2014-,2014,2,0,Lima,-77.0283,-12.0433
Edgar Villamar&#xED;n,Peru,32,1.84,Defender,2007-,2010.5,4,0,Lima,-77.0283,-12.0433
Yoshimar Yot&#xFA;n,Peru,24,1.71,Defender,2011-,2012.5,32,1,Callao,-77.1333,-12.0333
Jos&#xE9; Vel&#xE1;squez (footballer),Peru,62,1.88,Midfielder,1972-1985,1978.5,82,12,Lima,-77.0283,-12.0433
Jaime V&#xE1;squez,Peru,23,1.74,Defender,2012-,2013,1,0,Lima,-77.0283,-12.0433
Junior Viza,Peru,29,1.72,Midfielder,2006,2006,2,0,Lima,-77.0283,-12.0433
Alejandro Villanueva,Peru,,,Forward,1927-1938,1932.5,11,6,Lima,-77.0283,-12.0433
Ysrael Z&#xFA;&#xF1;iga,Peru,38,1.78,Forward,1999-2007,2003,22,3,Caman&#xE1;,-72.7092,-16.6233
